,model,datasize,runtime,accuracy,auc
0,RF,0.05,1800,0.0,0.0
1,RF,0.1,1800,0.0,0.0
2,RF,0.3,1800,0.0,0.0
3,RF,0.5,1800,0.0,0.0
4,RF,0.7,1800,0.0,0.0
5,RF,0.8,1800,0.0,0.0
6,RF,0.9,1800,0.0,0.0
7,RF,1.0,1800,0.0,0.0
8,GBT,0.05,1800,0.0,0.0
9,GBT,0.1,1800,0.0,0.0
10,GBT,0.3,1800,0.0,0.0
11,GBT,0.5,1800,0.0,0.0
12,GBT,0.7,1800,0.0,0.0
13,GBT,0.8,1800,0.0,0.0
14,GBT,0.9,1800,0.0,0.0
15,GBT,1.0,1800,0.0,0.0
16,MPC,0.05,1800,0.0,0.0
17,MPC,0.1,1800,0.0,0.0
18,MPC,0.3,1800,0.0,0.0
19,MPC,0.5,1800,0.0,0.0
20,MPC,0.7,1800,0.0,0.0
21,MPC,0.8,1800,0.0,0.0
22,MPC,0.9,1800,0.0,0.0
23,MPC,1.0,1800,0.0,0.0
